G18413.GTEX-QV31-1326-SM-2S1QE.1,1,0,0,37,1,1,0,2,0,0,336,2,4,0,-0.0,0,0,3.21194350518,-0.0,-0.0,0
G18415.GTEX-QMRM-1726-SM-2S1QG.1,0,0,0,24,0,0,0,0,0,0,138,0,0,0,0,0,0,2.60691216335,0,0,0
G18416.GTEX-QVJO-0011-R9A-SM-2S1QH.1,1,0,0,42,0,1,0,12,0,0,542,0,4,0,-0.0,0,0,3.19963715999,0,-0.0,0
G18418.GTEX-QVJO-0011-R10A-SM-2S1QJ.1,1,0,0,28,2,1,0,2,0,0,220,4,3,0,-0.0,0,0,3.04812635009,0.69314718056,-0.0,0
G18419.GTEX-QVJO-0011-R2A-SM-2S1QK.1,0,2,0,31,1,1,0,0,4,0,348,28,5,0,0,0.69314718056,0,3.00282790188,-0.0,-0.0,0
G18420.GTEX-QVJO-0011-R4A-SM-2S1QL.1,1,1,1,36,0,0,0,3,3,4,506,0,0,0,-0.0,-0.0,-0.0,3.21673069897,0,0,0
G18421.GTEX-QVJO-0011-R5A-SM-2S1QM.1,2,0,0,34,0,1,0,25,0,0,359,0,2,0,0.278769371769,0,0,3.2094380678,0,-0.0,0
G18422.GTEX-QVJO-0011-R6A-SM-2S1QN.1,1,0,0,35,2,0,0,31,0,0,412,4,0,0,-0.0,0,0,3.24919031901,0.69314718056,0,0
G18425.GTEX-QLQ7-1726-SM-2S1QQ.1,0,0,0,39,1,2,0,0,0,0,289,2,8,0,0,0,0,3.26578638826,-0.0,0.562335144619,0
G18428.GTEX-QESD-1526-SM-2S1QT.1,1,0,0,31,1,0,0,4,0,0,324,2,0,0,-0.0,0,0,2.79415271943,-0.0,0,0
G18432.GTEX-QVJO-1325-SM-2S1QX.1,1,0,0,36,1,0,0,2,0,0,250,2,0,0,-0.0,0,0,3.27264551453,-0.0,0,0
G18433.GTEX-QVJO-1426-SM-2S1QY.1,1,0,0,30,0,0,0,2,0,0,217,0,0,0,-0.0,0,0,3.16414837496,0,0,0
G18439.GTEX-QLQ7-1826-SM-2S1R5.1,0,0,0,37,2,1,0,0,0,0,354,4,2,0,0,0,0,3.15798177492,0.69314718056,-0.0,0
G18440.GTEX-QLQ7-1926-SM-2S1R6.1,2,1,0,33,1,0,0,5,10,0,384,2,0,0,0.673011667009,-0.0,0,2.92992978218,-0.0,0,0
G18442.GTEX-QLQ7-1626-SM-2S1R8.1,0,1,0,37,1,0,1,0,2,0,474,3,0,5,0,-0.0,0,3.11143182979,-0.0,0,-0.0
G18443.GTEX-QESD-1426-SM-2S1R9.1,1,0,1,27,2,0,0,3,0,2,226,4,0,0,-0.0,0,-0.0,2.88275522314,0.69314718056,0,0
G18444.GTEX-QLQW-0005-SM-2S1RA.1,1,0,0,41,11,3,0,3,0,0,689,122,19,0,-0.0,0,0,2.95047192056,1.7047203808,0.878525099127,0
G18445.GTEX-QESD-1626-SM-2S1RB.1,0,0,0,28,0,1,0,0,0,0,275,0,6,0,0,0,0,3.07508124887,0,-0.0,0
G18447.GTEX-QV44-2026-SM-2S1RD.1,1,2,1,39,1,1,0,4,4,2,426,2,4,0,-0.0,0.69314718056,-0.0,3.34343599298,-0.0,-0.0,0
G18448.GTEX-QV44-0526-SM-2S1RE.1,1,0,1,33,2,1,0,2,0,2,321,6,19,0,-0.0,0,-0.0,3.11742250643,0.636514168295,-0.0,0
G18449.GTEX-QV44-1926-SM-2S1RF.1,0,0,0,32,0,1,1,0,0,0,262,0,2,3,0,0,0,3.13849919065,0,-0.0,-0.0
G18450.GTEX-QV44-0826-SM-2S1RG.1,0,0,0,31,2,0,0,0,0,0,285,10,0,0,0,0,0,3.03103275548,0.69314718056,0,0
G18451.GTEX-QV44-0926-SM-2S1RH.1,6,0,1,26,0,1,0,23,0,2,163,0,2,0,1.58393116157,0,-0.0,2.8071015124,0,-0.0,0
G18455.GTEX-P4QS-1626-SM-2S1NH.1,1,0,1,41,1,1,0,2,0,4,468,2,2,0,-0.0,0,-0.0,3.29225430924,-0.0,-0.0,0
G18484.GTEX-PW2O-1926-SM-2S1OB.1,1,1,0,39,4,2,0,2,2,0,615,10,6,0,-0.0,-0.0,0,3.3403578594,1.36615884757,0.636514168295,0
