sample,fileName,individual,tissue,n.raw.reads,CPM,igRPM,immune.diversity
GTEX-R55C-1926-SM-2TF4K,G18588.GTEX-R55C-1926-SM-2TF4K.1,GTEX-R55C,Nerve - Tibial,83573333.0,1.196553929469344,0.299138482367336,1.34211317891
GTEX-R55F-0011-R6A-SM-2TF4L,G18589.GTEX-R55F-0011-R6A-SM-2TF4L.1,GTEX-R55F,Brain - Nucleus accumbens (basal ganglia),86293333.0,0.9386588416975388,0.10429542685528209,0.0
GTEX-REY6-0726-SM-2TF4M,G18590.GTEX-REY6-0726-SM-2TF4M.1,GTEX-REY6,Artery - Tibial,80360000.0,1.1199601791936287,0.024888003982080638,0.661563238158
GTEX-RM2N-0526-SM-2TF4N,G18591.GTEX-RM2N-0526-SM-2TF4N.1,GTEX-RM2N,Thyroid,97013333.0,0.948323257793854,1.8038757621078745,1.68145330897
GTEX-RNOR-0526-SM-2TF4O,G18592.GTEX-RNOR-0526-SM-2TF4O.1,GTEX-RNOR,Muscle - Skeletal,90533333.0,1.115611197038333,0.0,0.0
GTEX-R55F-1726-SM-2TF4R,G18595.GTEX-R55F-1726-SM-2TF4R.1,GTEX-R55F,Breast - Mammary Tissue,98253333.0,1.3027547879724344,7.785995412491503,2.24147386439
GTEX-REY6-0826-SM-2TF4S,G18596.GTEX-REY6-0826-SM-2TF4S.1,GTEX-REY6,Muscle - Skeletal,102493333.0,0.9854299498680563,0.0,1.09861228867
GTEX-RM2N-0426-SM-2TF4T,G18597.GTEX-RM2N-0426-SM-2TF4T.1,GTEX-RM2N,Lung,103800000.0,1.233140655105973,30.154142581888248,2.48641636301
GTEX-RNOR-0426-SM-2TF4U,G18598.GTEX-RNOR-0426-SM-2TF4U.1,GTEX-RNOR,Artery - Tibial,101586666.0,1.2107888253759602,0.10828192747264685,1.87464074054
GTEX-RNOR-0011-R7A-SM-2TF4V,G18599.GTEX-RNOR-0011-R7A-SM-2TF4V.1,GTEX-RNOR,Brain - Putamen (basal ganglia),107680000.0,1.1144130757800892,0.03714710252600297,0.801818552543
GTEX-R55F-1526-SM-2TF4X,G18601.GTEX-R55F-1526-SM-2TF4X.1,GTEX-R55F,Muscle - Skeletal,83320000.0,1.0921747479596735,0.03600576092174748,0.0
GTEX-REY6-1026-SM-2TF4Y,G18602.GTEX-REY6-1026-SM-2TF4Y.1,GTEX-REY6,Heart - Left Ventricle,97360000.0,0.9860312243221035,0.35949055053410023,0.907535294105
GTEX-RNOR-0005-SM-2TF4Z,G18603.GTEX-RNOR-0005-SM-2TF4Z.1,GTEX-RNOR,Whole Blood,87306666.0,1.7982590241162113,20.342089342868732,2.36010358214
GTEX-R55F-1426-SM-2TF53,G18606.GTEX-R55F-1426-SM-2TF53.1,GTEX-R55F,Adipose - Subcutaneous,93013333.0,1.2256307383372662,0.6665711033062325,2.03346206812
GTEX-REY6-0005-SM-2TF54,G18607.GTEX-REY6-0005-SM-2TF54.1,GTEX-REY6,Whole Blood,114186666.0,1.0771835653735613,1.6902148627406286,1.96453485822
GTEX-RNOR-0926-SM-2TF56,G18609.GTEX-RNOR-0926-SM-2TF56.1,GTEX-RNOR,Thyroid,90680000.0,0.992501102779003,0.8711954124393472,1.72522584621
GTEX-RNOR-0126-SM-2TF57,G18610.GTEX-RNOR-0126-SM-2TF57.1,GTEX-RNOR,Skin - Sun Exposed (Lower leg),104306666.0,1.677745121294549,0.1725680696188679,1.23712008378
